Altium Designer Pick and Place Locations
D:\svn\applications\hardware\pca63100\trunk\production_files\400491_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       02.11.20
Time:       13:21
Revision:   18750
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D3","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","23.1250","45.2470","360","Ultra low capacitance double rail-to-rail ESD protection diode"
"D4","PMEG2005AELD","TopLayer","DFN1006D-2","54.0750","44.4000","360","DIODE SCHOTTKY 20V 0.5A DFN1006D-2/SOD882D"
"D5","PMEG2005AELD","TopLayer","DFN1006D-2","56.2001","49.2000","90","DIODE SCHOTTKY 20V 0.5A DFN1006D-2/SOD882D"
"L1","4.7µH","TopLayer","IND_EPL2014","55.2250","46.3500","180","Shielded Power Inductor EPL2014 Low DCR Ind 4.7 uH 20 % 650mA"
"L2","4.7µH","TopLayer","IND_EPL2014","54.3751","49.2500","270","Shielded Power Inductor EPL2014 Low DCR Ind 4.7 uH 20 % 650mA"
"P1","Pin List 1x4, Angled","TopLayer","LIST_ANG_1x4-SMD-2.54MM","65.0000","9.4020","360","Pin List 1x4, 2.54mm (100mil), Right Angled, SMD"
"Q2","EFC6604R","TopLayer","BGA6C65P2X3_146X191X22","63.7263","15.8813","270","Dual MOSFET, Dual N Channel, 13 A, 12 V, 0.009 ohm, 4.5 V, 2.5 V"
"Q4","DMN2050LFDB","TopLayer","DFN65P200X60_HS-6N","59.1900","28.6500","360","Dual N Ch MOFET, 3.3A, 45mOhm @ 5A, 4.5V, 730mW"
"Q5","DMP1009UFDF","TopLayer","UDFN65P200X200X60_HS-6N","65.4713","28.5479","90","P Ch MOFET, 11A, 30mOhm max, 2W"
"Q6","DMN2050LFDB","TopLayer","DFN65P200X60_HS-6N","70.9750","27.0430","270","Dual N Ch MOFET, 3.3A, 45mOhm @ 5A, 4.5V, 730mW"
"Q7","DMP1009UFDF","TopLayer","UDFN65P200X200X60_HS-6N","65.4713","25.5896","90","P Ch MOFET, 11A, 30mOhm max, 2W"
"Q8","DMN2050LFDB","TopLayer","DFN65P200X60_HS-6N","70.9750","21.1260","270","Dual N Ch MOFET, 3.3A, 45mOhm @ 5A, 4.5V, 730mW"
"Q9","DMP1009UFDF","TopLayer","UDFN65P200X200X60_HS-6N","65.4713","22.6313","90","P Ch MOFET, 11A, 30mOhm max, 2W"
"Q10","DMP1009UFDF","TopLayer","UDFN65P200X200X60_HS-6N","65.4713","19.6813","90","P Ch MOFET, 11A, 30mOhm max, 2W"
"R6","20k","TopLayer","RESC0603X03L_C","65.0962","33.1313","180","Resistor, ±0.1%, 0.031W"
"R11","8k2","TopLayer","RESC0603X03L_C","77.2500","38.0560","180","Resistor, ±1%, 0.05W"
"R12","3k","TopLayer","RESC0603X03L_C","74.6750","39.1060","180","Resistor, ±1%, 0.05W"
"R13","6k8","TopLayer","RESC0603X03L_C","74.6750","40.3894","360","Resistor, ±1%, 0.05W"
"R14","220k","TopLayer","RESC0603X03L_C","76.2500","9.6500","180","Resistor, ±1%, 0.05W"
"R15","8k2","TopLayer","RESC0603X03L_C","74.6750","41.0310","180","Resistor, ±1%, 0.05W"
"R20","8k2","TopLayer","RESC0603X03L_C","70.9200","37.1560","360","Resistor, ±1%, 0.05W"
"R21","3k","TopLayer","RESC0603X03L_C","72.9250","41.0310","360","Resistor, ±1%, 0.05W"
"R56","47R","TopLayer","RESC0603X03L_C","66.9213","18.4613","90","Resistor, ±1%, 0.05W"
"R57","47R","TopLayer","RESC0603X03L_C","70.6500","19.4510","180","Resistor, ±1%, 0.05W"
"R70","1M0","TopLayer","RESC0603X03L_C","17.8500","50.9900","270","Resistor, ±1%, 0.05W"
"R77","330k","TopLayer","RESC0603X03L_C","56.5250","41.1350","270","Resistor, ±1%, 0.05W"
"R80","68k","TopLayer","RESC0603X03L_C","56.5250","42.2650","270","Resistor, ±1%, 0.05W"
"R73","180k","TopLayer","RESC0603X03L_C","51.4751","46.1650","270","Resistor, ±1%, 0.05W"
"R74","56k","TopLayer","RESC0603X03L_C","50.1251","45.0900","90","Resistor, ±1%, 0.05W"
"R75","20k","TopLayer","RESC0603X03L_C","50.8251","46.1650","90","Resistor, ±0.1%, 0.031W"
"R76","160k","TopLayer","RESC1005X04L","49.5501","48.7250","270","Resistor, ±0.1%, 0.063W"
"R78","56k","TopLayer","RESC0603X03L_C","50.4001","50.3250","270","Resistor, ±1%, 0.05W"
"R79","560k","TopLayer","RESC0603X03L_C","49.5251","50.3250","270","Resistor, ±1%, 0.05W"
"R54","0R051","TopLayer","RESC1005X04L","63.1963","19.3563","360","RES SMD 0.051 OHM 1% 1/4W 0402"
"R81","4k7","TopLayer","RESC0603X03L_C","71.2500","44.4600","270","Resistor, ±1%, 0.05W"
"R82","4k7","TopLayer","RESC0603X03L_C","71.2500","45.5400","90","Resistor, ±1%, 0.05W"
"R83","100k","TopLayer","RESC0603X03L_C","15.7633","40.8842","90","Resistor, ±1%, 0.05W"
"R58","10k","TopLayer","RESC0603X03L_C","61.7213","26.3915","180","Resistor, ±0.1%, 0.031W"
"R59","1M0","TopLayer","RESC0603X03L_C","57.5350","29.0000","270","Resistor, ±1%, 0.05W"
"R88","100k","TopLayer","RESC0603X03L_C","77.0263","44.8837","270","Resistor, ±1%, 0.05W"
"R85","330k","TopLayer","RESC0603X03L_C","76.2500","10.8250","180","Resistor, ±1%, 0.05W"
"R87","82k","TopLayer","RESC0603X03L_C","76.2500","10.2375","0","Resistor, ±1%, 0.05W"
"U7","24CW160","TopLayer","SOT-23-5","17.7250","40.9500","360","16 Kbit I2C Serial EEPROM with Software Write Protection, 1.6-5.5 V Supply"
"J2","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","22.8000","49.9375","270","MicroUSB-B-SMT"
"LD3","LED RGB","TopLayer","MSL0104","42.8000","42.1500","180","High brightness, side view RGB LED"
"P2","Pin List 1x10, Angled","TopLayer","LIST_ANG_1x10-SMD-2.54MM","27.6000","9.4020","360","Pin List 1x10, 2.54mm (100mil), Right Angled, SMD"
"LD4","LED RGB","TopLayer","MSL0104","43.6750","11.5500","360","High brightness, side view RGB LED"
"C54","100nF","TopLayer","CAPC0603X03L_C","30.7250","16.6920","90","Capacitor, X5R, ±10%"
"C55","100nF","TopLayer","CAPC0603X03L_C","30.7250","15.5327","270","Capacitor, X5R, ±10%"
"R102","100k","TopLayer","RESC0603X03L_C","24.4750","16.1400","90","Resistor, ±1%, 0.05W"
"U11","FXMA108","TopLayer","QFN50P450X250X80_HS-21N","27.5750","16.1250","270","8-bit bidirectional voltage-level translator with auto-direction sensing"
"C17","10nF","TopLayer","CAPC0603X03L_C","62.2900","14.2000","360","Capacitor, X7R, ±10%"
"R84","330k","TopLayer","RESC0603X03L_C","77.2150","18.4088","180","Resistor, ±1%, 0.05W"
"R86","33k","TopLayer","RESC0603X03L_C","77.2150","17.8188","360","Resistor, ±1%, 0.05W"
"C70","820pF","TopLayer","CAPC1005X04L","13.2400","29.0000","180","Capacitor, NP0, ±5%"
"C63","100pF","TopLayer","CAPC0603X03L_C","13.8900","23.0750","180","Capacitor, NP0, ±2%, 25V"
"C65","0.8pF","TopLayer","CAPC1005X04L","14.5884","25.7246","90","Capacitor, NP0, ±5%"
"L4","4.7nH","TopLayer","INDC1005X04L","13.1660","26.2326","180","Inductor, 160mA, ±0.1nH"
"C66","0.5pF","TopLayer","CAPC1005X04L","11.7334","25.7078","90","Capacitor, NP0, ±0.05pF"
"C74","4.7µF","TopLayer","CAPC1005X04L","21.8899","31.9500","90","Capacitor, X5R, ±20%"
"C61","1.0µF","TopLayer","CAPC1005X04L","24.6900","23.5250","360","Capacitor, X5R, ±5%, 6.3V"
"C56","1.0µF","TopLayer","CAPC1005X04L","21.4900","22.0250","360","Capacitor, X5R, ±5%, 6.3V"
"U12","nRF52840-QIAA","TopLayer","AQFN50P700X700X85_HS-74N","19.1400","27.0000","180","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C57","12pF","TopLayer","CAPC1005X04L","16.6568","20.9046","270","Capacitor, NP0, ±2%"
"C75","100nF","TopLayer","CAPC0603X03L_C","18.8900","31.9250","90","Capacitor, X5R, ±10%"
"X1","32MHz","TopLayer","BT-XTAL_2016","14.8788","20.9046","360","XTAL SMD 2016, 32MHz, Cl=8pF, Total Tol: ±40ppm"
"C59","12pF","TopLayer","CAPC1005X04L","13.1008","20.9046","90","Capacitor, NP0, ±2%"
"C73","100nF","TopLayer","CAPC0603X03L_C","16.1150","31.9500","90","Capacitor, X5R, ±10%"
"C72","4.7µF","TopLayer","CAPC1005X04L","24.1254","31.9500","90","Capacitor, X5R, ±20%"
"C60","100nF","TopLayer","CAPC0603X03L_C","24.7400","24.3750","360","Capacitor, X5R, ±10%"
"C71","4.7µF","TopLayer","CAPC1005X04L","23.0650","31.9500","90","Capacitor, X5R, ±20%"
"C62","100nF","TopLayer","CAPC0603X03L_C","16.5900","22.5500","180","Capacitor, X5R, ±10%"
"R35","1M0","TopLayer","RESC0603X03L_C","60.8450","28.2500","90","Resistor, ±1%, 0.05W"
"C68","N.C.","TopLayer","CAPC1005X04L_NC","8.4250","25.7080","90","Not mounted"
"R103","0R","TopLayer","RESC1005X04L","7.0154","26.2329","180","Resistor, ±5%, 0.063W"
"R16","120k","TopLayer","RESC0603X03L_C","81.7500","11.9750","180","Resistor, ±1%, 0.05W"
"R91","30k","TopLayer","RESC0603X03L_C","81.7500","12.5881","360","Resistor, ±1%, 0.05W"
"R51","4k7","TopLayer","RESC0603X03L_C","30.6600","24.5200","360","Resistor, ±1%, 0.05W"
"U9","ADP1708","TopLayer","SON50P300X80_HS-9N","78.8900","11.5938","180","LDO, Adjustable, 1 Output 1A, 8-LFCSP-WD (3x3)"
"J1","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","62.8000","49.9375","270","MicroUSB-B-SMT"
"C25","4.7µF","TopLayer","CAPC1005X04L","58.1500","45.1250","90","Capacitor, X5R, ±20%"
"C26","4.7µF","TopLayer","CAPC1005X04L","35.3750","50.2500","270","Capacitor, X5R, ±20%"
"C29","4.7nF","TopLayer","CAPC0603X03L_C","67.7500","50.3750","270","Chip Cap 0201"
"Q13","DMP1009UFDF","TopLayer","UDFN65P200X200X60_HS-6N","59.8500","45.6250","270","P Ch MOFET, 11A, 30mOhm max, 2W"
"R60","10k","TopLayer","RESC0603X03L_C","30.6000","48.1000","180","Resistor, ±0.1%, 0.031W"
"R63","1M0","TopLayer","RESC0603X03L_C","67.7500","51.5500","90","Resistor, ±1%, 0.05W"
"R67","100k","TopLayer","RESC0603X03L_C","34.0000","51.4250","360","Resistor, ±1%, 0.05W"
"R68","100k","TopLayer","RESC0603X03L_C","27.3750","28.3300","180","Resistor, ±1%, 0.05W"
"C67","100nF","TopLayer","CAPC0603X03L_C","68.4000","15.1250","360","Capacitor, X5R, ±10%"
"Q14","EFC6604R","TopLayer","BGA6C65P2X3_146X191X22","66.2663","15.8813","270","Dual MOSFET, Dual N Channel, 13 A, 12 V, 0.009 ohm, 4.5 V, 2.5 V"
"R38","100R","TopLayer","RESC2012X11L","60.6650","20.3750","360","Resistor, ±1%, 0.125W"
"R40","100k","TopLayer","RESC1005X04L","61.5213","29.3062","360","Resistor, ±0.1%, 0.063W"
"R89","0R","TopLayer","RESC0603X03L_C","75.4250","48.2737","360","Resistor, ±5%, 0.05W"
"R108","1M0","TopLayer","RESC0603X03L_C","60.8450","22.4125","90","Resistor, ±1%, 0.05W"
"R109","1M0","TopLayer","RESC0603X03L_C","57.5350","23.1375","270","Resistor, ±1%, 0.05W"
"R110","120k","TopLayer","RESC0603X03L_C","34.0000","48.1000","360","Resistor, ±1%, 0.05W"
"R111","30k","TopLayer","RESC0603X03L_C","34.0000","47.4750","180","Resistor, ±1%, 0.05W"
"R112","330k","TopLayer","RESC0603X03L_C","77.2150","17.2288","180","Resistor, ±1%, 0.05W"
"L3","1.5µH","TopLayer","TY-NR3015","82.7150","20.5000","270","Ferrite Inductor, Shielded, 1,8A, 48mOhm"
"C3","100nF","TopLayer","CAPC0603X03L_C","76.4650","19.9688","270","Capacitor, X5R, ±10%"
"TP1","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","59.8750","39.9313","0","0.7mm circular SMD testpad"
"TP2","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","63.7263","17.3313","0","0.7mm circular SMD testpad"
"TP3","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","64.7963","41.0813","0","0.7mm circular SMD testpad"
"TP4","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","70.6250","41.0750","0","0.7mm circular SMD testpad"
"TP5","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","66.3000","17.3313","0","0.7mm circular SMD testpad"
"TP10","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","59.8750","38.0000","0","0.7mm circular SMD testpad"
"TP18","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","49.5751","51.8750","0","0.7mm circular SMD testpad"
"TP19","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","80.4650","15.4188","0","0.7mm circular SMD testpad"
"TP21","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","70.1750","47.6788","0","0.7mm circular SMD testpad"
"TP22","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","74.6250","49.2500","0","0.7mm circular SMD testpad"
"TP23","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","74.6250","9.6500","0","0.7mm circular SMD testpad"
"TP24","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","75.9150","17.2288","0","0.7mm circular SMD testpad"
"R17","56k","TopLayer","RESC0603X03L_C","60.4600","43.9500","180","Resistor, ±1%, 0.05W"
"R18","100k","TopLayer","RESC0603X03L_C","59.2950","43.9500","360","Resistor, ±1%, 0.05W"
"R19","4k7","TopLayer","RESC0603X03L_C","62.5963","32.8613","270","Resistor, ±1%, 0.05W"
"R22","4k7","TopLayer","RESC0603X03L_C","66.3463","32.8613","270","Resistor, ±1%, 0.05W"
"SB3","Solderbridge","TopLayer","Solderbridge","39.3624","14.4500","180","Solderbridge"
"TP31","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","29.3500","23.2500","0","0.7mm circular SMD testpad"
"TP32","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","29.3500","24.5200","0","0.7mm circular SMD testpad"
"TP33","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","29.3500","25.7900","0","0.7mm circular SMD testpad"
"R72","10k","TopLayer","RESC0603X03L_C","20.6250","18.3650","270","Resistor, ±0.1%, 0.031W"
"R113","10k","TopLayer","RESC1005X04L","77.9400","15.4188","180","THERMISTOR 10K OHM NTC 0402 SMD"
"R114","0R","TopLayer","RESC0603X03L_C","76.4650","21.0838","270","Resistor, ±5%, 0.05W"
"R115","0R","TopLayer","RESC0603X03L_C","76.4664","22.1950","270","Resistor, ±5%, 0.05W"
"R116","560k","TopLayer","RESC0603X03L_C","73.2013","48.2737","180","Resistor, ±1%, 0.05W"
"H1","3mm,P.T.","TopLayer","HOLE_PT_3MM","80.0000","48.3800","360","Regular Plate Through, 3mm hole"
"H2","3mm,P.T.","TopLayer","HOLE_PT_3MM","80.0000","5.6000","270","Regular Plate Through, 3mm hole"
